skull,c4000_BCE,c3300_BCE,c1850_BCE,c200_BCE,c150_CE
1,131,124,137,137,137
2,125,133,129,141,136
3,131,138,132,141,128
4,119,148,130,135,130
5,136,126,134,133,138
6,138,135,140,131,126
7,139,132,138,140,136
8,125,133,136,139,126
9,131,131,136,140,132
10,134,133,126,138,139
11,129,133,137,132,143
12,134,131,137,134,141
13,126,131,136,135,135
14,132,138,137,133,137
15,141,130,129,136,142
16,131,131,135,134,139
17,135,138,129,131,138
18,132,123,134,129,137
19,139,130,138,136,133
20,132,134,136,131,145
21,126,137,132,139,138
22,135,126,133,144,131
23,134,135,138,141,143
24,128,129,130,130,134
25,130,134,136,133,132
26,138,131,134,138,137
27,128,132,136,131,129
28,127,130,133,136,140
29,131,135,138,132,147
30,124,130,138,135,136
