pkg,weight_oz,year,blue,brown,green,orange,red,yellow
1,1.69,2007,13,7,12,9,7,8
2,1.69,2007,8,3,13,13,10,6
3,1.69,2007,8,10,11,10,5,10
4,1.69,2007,14,4,6,14,7,9
5,1.69,2007,6,8,10,12,8,8
6,1.69,2007,7,11,13,7,4,13
7,1.69,2007,8,7,13,8,7,9
8,1.69,2007,12,10,6,8,8,9
9,1.69,2007,6,9,12,14,8,6
10,1.69,2007,7,8,12,10,11,7
11,1.69,2007,16,10,8,8,9,3
12,1.69,2007,14,7,13,10,2,8
13,1.69,2007,13,4,9,8,12,6
14,1.69,2007,11,6,8,11,9,10
15,1.69,2007,12,12,9,8,10,4
16,1.69,2007,8,6,10,14,6,9
17,1.69,2007,14,8,6,11,6,10
18,1.69,2007,12,7,9,15,8,5
19,1.69,2007,13,7,5,11,4,14
20,1.69,2007,12,8,12,8,8,9
21,1.69,2007,7,9,17,12,6,4
22,1.69,2007,11,8,9,10,8,8
23,1.69,2007,10,4,12,17,7,5
24,1.69,2007,11,11,10,10,4,11
25,1.69,2007,10,8,13,11,5,6
26,1.69,2007,7,8,10,11,12,6
27,1.69,2007,6,5,9,14,12,8
28,1.69,2007,8,10,6,10,11,12
29,1.69,2007,11,7,8,10,12,8
30,1.69,2007,5,9,10,15,7,11
31,1.69,2007,8,7,16,9,5,10
32,1.69,2007,13,8,7,11,10,5
33,1.69,2007,11,8,5,17,8,5
34,1.69,2007,7,8,9,11,11,11
35,1.69,2007,8,9,9,12,9,9
36,1.69,2007,8,12,9,14,6,7
37,1.69,2007,15,3,11,14,2,10
38,1.69,2007,7,12,12,9,10,5
39,1.69,2007,9,5,10,11,10,10
40,1.69,2007,13,6,12,11,9,2
41,1.69,2007,8,7,9,11,11,9
42,1.69,2007,11,8,10,17,4,4
43,1.69,2007,8,7,13,13,7,6
44,1.69,2007,8,9,9,13,8,6
45,1.69,2007,11,9,10,10,8,6
46,1.69,2007,9,6,10,10,9,10
47,1.69,2007,13,8,11,13,4,6
48,1.69,2007,14,8,10,9,8,6
